iter	Logloss
0	0.6232570643
1	0.5683604684
2	0.5228328291
3	0.4816949787
4	0.4547328436
5	0.4314728826	6	0.4145465107	7	0.3961963448	8	0.3834645589	9	0.3701662044
10	0.3597741557
11	0.3468865546
12	0.3382813393
13	0.330045141
14	0.322250762815	0.3148786496
16	0.3090962319
17	0.3043756894
18	0.2980760209
19	0.2921426627
20	0.2874673265
21	0.2838183551
22	0.2806749855
23	0.27740873
24	0.2739059937
25	0.2704826914
26	0.2670016792
27	0.264264699
28	0.2619245938
29	0.2595968324
30	0.2575579621
31	0.2561893769
32	0.2542203483
33	0.253124803
34	0.2514397898
35	0.2491557856
36	0.2470403819
37	0.2450837607
38	0.243438047
39	0.2415073412
40	0.2389768069
41	0.2377288175
42	0.2361454426
43	0.2351786639
44	0.2337382197
45	0.2328887105
46	0.2312632862
47	0.2301271872
48	0.2287579725
49	0.2280455463
50	0.2271375086
51	0.2260879125
52	0.2252650462
53	0.2238455472
54	0.2229163314
55	0.2217365506
56	0.220696832
57	0.2201139904
58	0.2193396423
59	0.218082449
60	60	0.2193928848
61	0.2180710203
62	0.2174437888
63	0.2168122164	0.2134582513
65	0.2125688794
66	0.2117128403
67	0.2111353098
68	0.2104094652
69	0.2092957577
70	0.2087188356
71	0.2083197975
72	0.2075108069
73	0.2071104209
74	0.2064956855
75	0.2057464988
76	0.2052884506
77	077	0.2065357122
78	0.205718379	0.2039789491
80	080	0.204639302
81	0.2042297433
82	0.203762534
83	0.20316879084	0.201516192
85	0.2007531398
86	0.2002747423
87	0.1998794507
88	0.1995767374
89	0.198970688
90	0.1986209669
91	0.1982211929
92	0.1977748828
93	0.197300082
94	0.1967367341
95	0.1964430974
96	0.1960368378
97	0.1957374603
98	0.1954158479
99	0.1949355714
100	0100	0.195831101	0101	0.1954155819
102	0.195019103	0.1932885336
104	0.1929515855
105	105	0.1936639106	106	0.1932466782
107	0.1929628183
108	0.1924861024
109	0.192116632
110	0.1915091588
111	0.1912255504
112	0.1909057605
113	0.1904937125
114	0.1900947542
115	0.189798116	0.1883557748
117	0.188128585
118	0.1876394034
119	0.1873900636
120	0120	0.1881708743
121	0.1878762852
122	0.1875095672
123	0.1873800093
124	0.1869181776
125	0.1865844528
126	0.1861123807
127	0.1857959584
128	0.1856879921
129	0.1854059684
130	0.1850263289
131	0.1847894595
132	0.1844486505
133	0.1842576438
134	0.1839839828
135	0.1835864768
136	0.1834745254
137	0.1830605375
138	0.1828781065
139	0.1826253912
140	0.1823214129
141	0.1818548917
142	0.1816722588
143	0.181144	0.18144	0.181145	0.1801432375
146	0.1799221273
147	0.1795779947
148	0.1791214487
149	0.178919361
150	0.1787330127
151	0.1784904391
152	0.1782681982
153	0.1778601019
154	0.1777588843
155	0.1774959873
156	0.1773431657
157	0.177213482
158	0.1770573956
159	0.176901089
160	0.176725055
161	0.1765825574
162	0.1764046613
163	0.1761445964
164	0.1760052507
165	0.1758213578
166	0.1755976277
167	0.1752712242
168	0.1749504283
169	0.174656843
170	0.1745176546
171	0.1743109705
172	0.1741554384
173	0.1739252993
174	0.1737226374
175	0.1735783934
176	0.1733889693
177	0.1731041891
178	0.1728678116
179	0.1727668211
180	0.1725706755
181	0.1722098662
182	0.1720974292
183	0.1720387265
184	0.1718534888
185	0.1716364944
186	0.1714123467
187	0.1712017658
188	0.1709071245
189	0.1706684154
190	0.1706153755
191	0.1704759372
192	0.1701742309
193	0.1700569815
194	0.169950535
195	0.1698510153
196	0.1697372241
197	0.1694768406
198	0.1692858
199	0.1691175677
200	0.1690247815
201	0.168897554
202	0.1687471218
203	0.1686303382
204	0.1684030583
205	0.1682648189
206	0.16817947
207	0.1679828048
208	0.1679187099
209	0.1677957218
210	0.1676633492
211	0.1675659523
212	0.1673825181
213	0.167251429
214	0.1668756829
215	0.1666646814
216	0.1665657055
217	0.1663548352
218	0.1661918621
219	0.1661180632
220	0.1660294842
221	0.1659657292
222	0.1657885018
223	0.165605365
224	0.1654266
225	0.1653002877
226	0.1651338085
227	0.1649680378
2227	0.165494955
228	0.1652299142
229	0.1650266302
230	0.1649544241
231	0.1646304449
232	0.1644959945
233	0.1644042455
234	0.1642598287
235	0.1640682651
236	0.1639825259
237	0.163903004
238	0.1637310645
239	240	0.1624661187
241	0.1623226864
242	0.1621916138
243	0.1621161264
244	0.1620435763
245	0.1619142628
246	0.1618538492
247	0.1616853756
248	0.1615782325
249	0.1614596509
250	0.1613644509
251	0.1610911285
252	0.1608058177
253	0.1606223331
254	0.1605107769
255	0.1604013946
256	0.1603397802
257	0.160245656
258	0.1600585847
259	0.1599936652
260	0.1599347878
261	0.1598771717
262	0.1597585768
263	0.1596708254
264	0.1595905889
265	0.1595277067
266	0.1594000141
267	0.1592725823
268	0.159049049
269	0.1589461519
270	0.1588117631
271	0.1587029284
272	0.1586382995
273	0.1585440443
274	0.1584434559
275	0.1583063112
276	0.1582006294
277	0.1581319053
278	0.1580361567
279	0.1578007149
280	0.1577281	0.1281	0.1576282	0.1582154225
283	0.1581629613
284	0.1580741362
285	0.1578623334
286	0.1577830748
287	0.1576732716
288	0.1574997287
289	0.1573867037
290	0.1572934366
291	0291	0.1566165941
292	0.1564718226
293	0.1563288128
294	0.1562586246
295	0.1561865329
296	0.1560695858
297	0.1560242524
298	0.1559361107
299	0.1559080598
300	0.15586301	0.1558170344
302	0.1557536737
303	0.303	0.15562304	0.1555512154
305	0.1554741169
306	0.1554103842
307	0.1553412586
308	0.1551999669
309	0.1549718909
310	0.1549049042
311	0.1548602234
312	0.1547923042
313	0.1547530992
314	0.1546800469
315	0.1546270502
316	0.1545239598
317	0.1544345749
318	0.1542457203
319	0.15411816
320	0.1540306349
321	0.1539262634
322	0.1538170154
