iter	Passed	Remaining
0	281	280958
1	453	226402
2	463	153982
3	472	11770244	526	104735	5	624	103456	877	124543
7	1121	139095
8	1207	132908
9	1487	147248
10	1638	147302
11	1823	150101
12	1916	145539
13	1928	135838
14	1937	127255
15	15	2232	137287
16	2475	143163
17	2635	143787
18	2648	136728
19	2656	130155
20	2669	124464
21	2680	119146
22	2792	118622
23	2841	115547
24	2941	114707
25	3063	114752
26	3158	113826
27	3180	110396
28	3221	107858
29	3240	104792
30	3247	101498
31	3253	98430
32	326134	3076	84836
35	3126	83733
36	315235	3433	91950
36	344138	322137	345339	323038	3539	87213
39	3549	85191
40	3559	83254
41	3568	81403
42	3578	79644
43	3588	77958
44	3678	78065
45	3725	77257
46	3982	80742
47	4070	80731
48	4108	79731
49	4117	78237
50	4129	76837
51	4140	75485
52	4161	74360
53	4438	77752
54	4463	76692
55	4473	75403
56	4503	74497
57	4511	73269
58	4604	73445
60	4458	68638
61	4468	67603
62	4478	65	4739	67065
66	4769	66410
67	47864	4878	70175
65	4962	70223
66	5116	71254
67	5396	73967
68	5556	74976
69	5646	75014
70	5727	74946
71	5740	73988
72	5749	73009
73	5758	77	5667	66992
78	5753	67073
79	5764	66286
80	5998	68061
81	6158	68940
82	6175	68227
83	6184	67443
84	6196	66704
85	6211	66012
86	6224	65317
87	62384	6443	88	63285	6698	71195
86	6868	72083
87	6888	71387
88	7142	73105
89	7227	73077
90	7234	72264
91	7364	72684
92	7385	72029
93	7398	71308
94	7423	70721
95	7442	99	72796	7450	100	7462	66425
101	7690	67710
102	7702	67079
103	7714	66465
104	7727	65863
105	7816	65920
106	7933	66212
107	8158	67386
108	8319	68008
109	8429	68201
110	8523	68264
111	8640	68502
112	8793	69021
113	8804	68426
114	8813	67828
115	8822	67236
116	8831	66652
117	8839	66074
118	8848	65507
119116	9036	681120	8911	64735
121	8919	64188
122	8929	63670
123	9039	63862
124	9242	64695
125	9350	64857
126	9359	64336
127	9375	63868
128	9419	63598
129	9427	63090
130	9435	62588
131	9442	62094
132	9450	61606
133	9458	61127
134	9466	60658
135	9479	60222
136	9500	59844
137	9509	59397
138	9590	59406
139	9611	59039
140	9618	58598
141	9626	58167
142	9635	57746
143	9642	57319
144	9652	56918
145	9661	56514145	9906	57943
146	10013	58104
147	10103	58162
148	10356	59147
149	10654	60373
150	10820	60838
151	10891	60764
152	10925	60481
153	11058	60750
154	11254	61353
155	11381	61579
156	11488	61685
157	11583	61728
158	11663	61690
159	11884	62391
160	11913	62084
161	11923	61678
162	11932	61274
163	11941	60874
164	11950	60475
165	11958	60078
166	11967	59692
167	12158	60214
168	12172	59855
169	12223	59680
170	12291	59589
171	12308	59253
172	12431	59426
173	12694	60262
174	12907	60851
175	13049	61093
176	13158	61181
177	13367	61730
178	13484	61849
179	13508	61539
180	13626	61658
181	13874	62359
182	13892	62023
183	13975	61979
184	13999	61674
185	14013	61325
186	14022	60963
187	14031	60604
188	14066	60361
189	14298	60957
190	14510	61462
191	14534	61164
192	14560	60881
193	14707	61102
194	14843	61275
195	14884	61058
196	14938	60893
197	14948	60550
198	15024	60475
199	15177	60708
200	15267	60690
201	15366	60704
202	15375	60366
203	15515	60542
204	15590	60461
205	15602	60138
206	15614	59818
207	15627	59505
208	15640	59194
209	15652	58884
210	15666	58583
211	15754	58559
212	15808	58409
213	15947	58572
214	16003	58430
215	16076	58350
216	16144	58254
217	16153	57945
218	16349	58306
219	16366	58025
220	16378	57732
221	16487	57780
222	16608	57868
223	16656	57703
224	16667	57409
225	16681	5712227	16622	56284
228	16768	56456
229	16776	56165
230	16789	55891
231	16798	55608
232	16931	55736
233	16943	55463
234	16959	55208
235	16970	54937
236	16985	54681
237	17020	54493
238	17029	54225
239	17041	53964
240	17050	53698
241	17061	53441
242	17085	53225
240	17404	54813
241	17559	54999
242	17695	55124
243	17937	55576
244	18049	55621
245	18064	55367
246	18078	55113
247	18180	55129
248	18343	55324
249	18356	55068
250	18369	54814
251	18379	54555
252	18391	54303
253	18472	54253
254	18503	54060
255	18519	53823
256	18646	53908
257	18845	54198
258	18879	54013
259	18890	53766
260	18900	53515
261	18911	53270
262	18923	53030
