SrcAddr,Sport,DstAddr,Dport,DstLoad,SrcPkts,SrcBytes,DstLoss,DstBytes,sMeanPktSz,SrcLoad,dMeanPktSz,Rate
192.168.1.96,42810,104.16.227.10,https,0.000000,1,108,0,170,108.000000,14732.006836,85.000000,43.329433
192.168.1.96,44668,152.199.19.160,https,21518.521484,3,198,0,411,66.000000,53633.285156,82.199997,142.641724
192.168.1.96,46378,152.199.19.161,https,20237.050781,3,186,0,411,62.000000,53693.464844,82.199997,142.801773
192.168.1.96,39089,104.16.226.10,https,7225.273438,8,7194,0,1389,899.250000,37403.863281,173.625000,11.140944
192.168.1.1,,224.0.0.1,,0.000000,1,46,0,0,46.000000,0.000000,0.000000,0.000000
192.168.1.96,43418,216.58.205.196,https,0.000000,1,66,0,66,66.000000,0.000000,66.000000,24.126616
192.168.1.96,,224.0.0.251,,0.000000,1,46,0,0,46.000000,0.000000,0.000000,0.000000
192.168.1.96,39089,104.16.226.10,https,28388.400391,9,9613,0,2016,1068.111084,132339.812500,183.272720,36.782570
192.168.1.96,49733,192.168.1.1,domain,0.000000,1,99,0,206,99.000000,0.000000,206.000000,12.688906
192.168.1.96,47005,192.168.1.1,domain,0.000000,1,99,0,227,99.000000,0.000000,227.000000,16.766989
192.168.1.96,37753,192.168.1.1,domain,0.000000,1,102,0,358,102.000000,0.000000,358.000000,13.655606
192.168.1.96,40356,192.168.1.1,domain,0.000000,1,102,0,159,102.000000,0.000000,159.000000,8.943344
192.168.1.96,42695,192.168.1.1,domain,0.000000,1,100,0,185,100.000000,0.000000,185.000000,8.404915
192.168.1.96,52532,142.250.200.234,https,195301.562500,14,2641,0,7411,188.642853,68951.460938,463.187500,101.895248
192.168.1.96,38210,13.226.244.23,https,41794.941406,11,1888,0,1668,171.636368,46933.886719,139.000000,75.170753
192.168.1.96,56596,239.255.255.250,1900,0.000000,4,860,0,0,215.000000,1711.420654,0.000000,0.995012
192.168.1.96,45548,192.168.1.1,domain,0.000000,1,103,0,226,103.000000,0.000000,226.000000,20.883802
192.168.1.96,52547,192.168.1.1,domain,0.000000,1,103,0,271,103.000000,0.000000,271.000000,20.429426
192.168.1.96,55904,192.168.1.1,domain,0.000000,1,116,0,187,116.000000,0.000000,187.000000,4.755383
192.168.1.96,45228,52.182.143.208,https,39285.847656,13,7208,0,5581,554.461548,52042.214844,558.099976,21.508278
192.168.1.96,53484,66.102.1.188,5228,0.000000,1,66,0,66,66.000000,0.000000,66.000000,20.112631
192.168.1.96,36002,192.168.1.1,domain,0.000000,1,81,0,97,81.000000,0.000000,97.000000,13.848113
192.168.1.96,57512,192.168.1.1,domain,0.000000,1,81,0,132,81.000000,0.000000,132.000000,10.300677
192.168.1.96,36236,41.231.48.63,http,737430.250000,118,15560,0,306742,131.864410,37300.753906,1713.642456,89.450249
192.168.1.96,36238,41.231.48.63,http,782997.562500,147,16691,1,408353,113.544220,31931.332031,1839.427979,88.601837
192.168.1.96,36242,41.231.48.63,http,732932.125000,108,11155,1,235323,103.287041,34671.621094,1692.971191,96.466919
192.168.1.96,36258,41.231.48.63,http,1066648.875000,133,12129,0,362237,91.195488,35627.175781,1829.479858,122.081833
192.168.1.96,36264,41.231.48.63,http,1181955.000000,163,16313,1,395042,100.079758,48727.304688,1771.488770,144.637115
192.168.1.96,36268,41.231.48.63,http,987149.187500,130,14012,1,330193,107.784615,41790.406250,1737.857910,119.841240
192.168.1.96,60473,192.168.1.1,domain,0.000000,1,91,0,107,91.000000,0.000000,107.000000,10.756042
192.168.1.96,33576,192.168.1.1,domain,0.000000,1,91,0,148,91.000000,0.000000,148.000000,6.192640
192.168.1.96,55086,142.250.201.10,https,14958.346680,6,897,0,1594,149.500000,10525.722656,531.333313,14.071822
192.168.1.96,55094,142.250.201.10,https,180497.859375,23,3194,1,18391,138.869568,31027.193359,613.033325,65.993706
192.168.1.96,55104,142.250.201.10,https,64202.589844,9,1059,0,5321,117.666664,13259.995117,760.142883,26.393303
192.168.1.96,55106,142.250.201.10,https,64200.667969,9,1059,0,5321,117.666664,13259.598633,760.142883,26.392513
192.168.1.96,55110,142.250.201.10,https,82180.507812,10,1303,2,6362,130.300003,17315.921875,795.250000,31.369423
192.168.1.96,45027,192.168.1.1,domain,0.000000,1,88,0,0,88.000000,0.000000,0.000000,0.000000
192.168.1.96,38670,192.168.1.1,domain,0.000000,1,88,0,145,88.000000,0.000000,145.000000,14.883389
192.168.1.96,50773,142.250.201.10,https,115475.562500,7,3144,0,6716,449.142853,52128.414062,746.222229,36.267448
192.168.1.96,55075,192.168.1.1,domain,0.000000,1,87,0,132,87.000000,0.000000,132.000000,8.801112
192.168.1.96,58338,192.168.1.1,domain,0.000000,1,87,0,161,87.000000,0.000000,161.000000,8.816320
192.168.1.96,34549,192.168.1.1,domain,0.000000,1,98,0,143,98.000000,0.000000,143.000000,3.703649
192.168.1.96,58468,31.13.69.35,https,148309.984375,29,3677,0,31973,126.793106,17059.658203,1102.517212,34.229813
192.168.1.96,58474,31.13.69.35,https,34748.375000,8,1141,0,3202,142.625000,12646.129883,457.428558,22.152880
192.168.1.96,55614,192.168.1.1,domain,0.000000,1,90,0,129,90.000000,0.000000,129.000000,6.548402
192.168.1.96,43325,192.168.1.1,domain,0.000000,1,90,0,170,90.000000,0.000000,170.000000,6.560733
192.168.1.96,52080,192.168.1.1,domain,0.000000,1,92,0,149,92.000000,0.000000,149.000000,3.193296
192.168.1.96,60000,157.240.195.15,https,100164.507812,15,2173,0,11424,144.866669,19059.718750,761.599976,34.051987
192.168.1.96,60016,157.240.195.15,https,27753.291016,7,1051,0,3069,150.142853,9775.495117,511.500000,16.274408
192.168.1.96,60952,31.13.69.35,https,239216.718750,11,3753,0,10170,341.181824,84977.351562,565.000000,87.169029
192.168.1.96,39204,142.250.200.234,https,174275.000000,6,3025,0,6686,504.166656,75089.265625,835.750000,48.401451
192.168.1.96,52532,142.250.200.234,https,20164.277344,5,562,0,649,112.400002,16772.503906,108.166664,46.590290
192.168.1.96,42810,104.16.227.10,https,541.129639,3,282,0,340,94.000000,733.979004,85.000000,2.158762
192.168.1.96,44462,192.168.1.1,domain,0.000000,1,90,0,130,90.000000,0.000000,130.000000,15.816778
192.168.1.96,37353,192.168.1.1,domain,0.000000,1,90,0,164,90.000000,0.000000,164.000000,23.187868
192.168.1.96,47909,192.168.1.1,domain,0.000000,1,91,0,141,91.000000,0.000000,141.000000,13.486722
192.168.1.96,40548,216.58.212.110,https,18355.759766,15,6889,0,4808,459.266663,26181.794922,300.500000,15.269320
192.168.1.96,36242,41.231.48.63,http,623.738220,2,132,0,132,66.000000,623.738220,66.000000,3.543967
192.168.1.96,36268,41.231.48.63,http,716.025391,2,132,0,132,66.000000,716.025391,66.000000,4.068326
192.168.1.96,36258,41.231.48.63,http,730.087524,2,132,0,132,66.000000,730.087524,66.000000,4.148224
192.168.1.96,36264,41.231.48.63,http,740.065857,2,132,0,132,66.000000,740.065857,66.000000,4.204920
192.168.1.96,36236,41.231.48.63,http,905.456909,2,132,0,132,66.000000,905.456909,66.000000,5.144641
192.168.1.96,45027,192.168.1.1,domain,0.000000,1,88,0,104,88.000000,0.000000,104.000000,21.483662
192.168.1.96,58504,172.217.19.131,https,2916669.250000,64,5835,0,120288,91.171875,140914.703125,1398.697632,456.917877
192.168.1.96,58508,172.217.19.131,https,228381.000000,9,1143,1,4957,127.000000,54609.343750,708.142883,100.780037
192.168.1.96,58518,172.217.19.131,https,0.000000,1,74,0,0,74.000000,0.000000,0.000000,0.000000
192.168.1.96,57492,192.168.1.1,domain,0.000000,1,81,0,132,81.000000,0.000000,132.000000,10.298343
192.168.1.96,36280,41.231.48.63,http,0.000000,2,140,0,74,70.000000,26033.193359,74.000000,92.975685
192.168.1.96,45741,192.168.1.1,domain,0.000000,1,89,0,329,89.000000,0.000000,329.000000,21.464754
192.168.1.96,38112,192.168.1.1,domain,0.000000,1,89,0,146,89.000000,0.000000,146.000000,12.838289
192.168.1.96,36238,41.231.48.63,http,2453375.250000,26,2321,2,42163,89.269234,134204.187500,1360.096802,420.891266
192.168.1.96,53200,216.58.212.106,https,129538.703125,8,2428,0,3698,303.500000,83719.507812,410.888885,78.794830
192.168.1.96,38294,192.168.1.1,domain,0.000000,1,107,0,363,107.000000,0.000000,363.000000,15.891177
192.168.1.96,49524,192.168.1.1,domain,0.000000,1,107,0,164,107.000000,0.000000,164.000000,7.528930
192.168.1.96,60202,142.250.203.234,https,740025.437500,26,3129,0,27149,120.346153,85584.460938,1131.208374,174.212311
192.168.1.96,44937,104.16.226.10,https,75860.187500,9,2292,0,2573,254.666672,67571.265625,285.888885,70.455811
192.168.1.96,34992,68.232.34.200,https,20449.263672,3,198,0,345,66.000000,40123.933594,86.250000,116.189003
192.168.1.96,39089,104.16.226.10,https,23134.142578,6,3401,0,1352,566.833313,58194.582031,225.333328,28.224886
fe80::5424:887b:fabb:31da,dhcpv6-client,ff02::1:2,dhcpv6-server,0.000000,1,110,0,0,110.000000,0.000000,0.000000,0.000000
192.168.1.96,47832,41.231.48.63,http,67275.953125,25,2094,0,33155,83.760002,4250.586914,1326.199951,12.946218
192.168.1.96,47832,41.231.48.63,http,0.000000,1,66,0,66,66.000000,0.000000,66.000000,44.855118
192.168.1.96,47838,41.231.48.63,http,946526.312500,146,13605,0,338516,93.184929,37950.367188,1511.232178,129.548599
192.168.1.96,59820,41.231.48.63,http,1517.509521,5,1220,0,886,244.000000,2227.201904,221.500000,2.281969
192.168.1.96,59828,41.231.48.63,http,7478.902832,9,1438,0,3823,159.777771,2918.985840,546.142883,4.279202
192.168.1.96,59832,41.231.48.63,http,1460.606934,5,1219,0,853,243.800003,2227.425537,213.250000,2.282198
192.168.1.96,45472,172.217.19.131,https,786592.312500,31,5740,0,60440,185.161285,73632.843750,1098.909058,140.836899
192.168.1.96,59824,192.168.1.1,domain,0.000000,1,91,0,266,91.000000,0.000000,266.000000,9.546083
192.168.1.96,56211,192.168.1.1,domain,0.000000,1,91,0,304,91.000000,0.000000,304.000000,9.494963
192.168.1.96,58890,192.168.1.1,domain,0.000000,1,96,0,152,96.000000,0.000000,152.000000,9.465932
192.168.1.96,40428,93.184.220.66,http,609311.062500,24,1990,0,30262,82.916664,40161.867188,1315.739136,121.032883
192.168.1.96,60952,31.13.69.35,https,209498.328125,50,5194,0,58014,103.879997,18701.337891,983.288147,49.591057
192.168.1.96,59834,41.231.48.63,http,0.000000,2,140,0,74,70.000000,12602.394531,74.000000,45.008553
192.168.1.96,39089,104.16.226.10,https,22714.218750,5,4928,0,759,985.599976,147306.187500,151.800003,42.028774
192.168.1.96,36479,192.168.1.1,domain,0.000000,1,86,0,123,86.000000,0.000000,123.000000,20.017614
192.168.1.96,51870,192.168.1.1,domain,0.000000,1,86,0,157,86.000000,0.000000,157.000000,14.495905
192.168.1.96,57353,192.168.1.1,domain,0.000000,1,91,0,139,91.000000,0.000000,139.000000,17.207260
192.168.1.96,51790,192.168.1.1,domain,0.000000,1,91,0,180,91.000000,0.000000,180.000000,16.303904
192.168.1.96,38782,192.168.1.1,domain,0.000000,1,96,0,112,96.000000,0.000000,112.000000,20.208960
192.168.1.96,35125,192.168.1.1,domain,0.000000,1,96,0,152,96.000000,0.000000,152.000000,12.351932
192.168.1.96,58240,172.217.18.238,https,2026652.875000,72,7623,1,127947,105.875000,120363.828125,1361.138306,330.208038
192.168.1.96,48049,192.168.1.1,domain,0.000000,1,88,0,138,88.000000,0.000000,138.000000,7.430580
192.168.1.96,33024,192.168.1.1,domain,0.000000,1,92,0,149,92.000000,0.000000,149.000000,13.032372
192.168.1.96,33862,31.13.69.13,https,152106.937500,12,1760,0,6007,146.666672,44955.246094,546.090881,76.596603
192.168.1.96,39538,192.229.233.25,https,1015764.562500,79,9066,1,134855,114.759491,68212.929688,1550.057495,157.159470
192.168.1.96,42704,31.13.69.13,https,2139888.250000,63,7795,0,97477,123.730156,170474.687500,1174.421631,402.744232
192.168.1.96,53896,172.217.18.238,https,350500.718750,32,6344,0,42216,198.250000,52213.621094,959.454529,79.645737
192.168.1.96,35865,192.168.1.1,domain,0.000000,1,92,0,108,92.000000,0.000000,108.000000,14.535518
192.168.1.96,56584,192.168.1.1,domain,0.000000,1,92,0,142,92.000000,0.000000,142.000000,7.562066
192.168.1.96,37063,192.168.1.1,domain,0.000000,1,90,0,106,90.000000,0.000000,106.000000,15.780338
192.168.1.96,38145,192.168.1.1,domain,0.000000,1,90,0,140,90.000000,0.000000,140.000000,10.508948
192.168.1.96,42939,192.168.1.1,domain,0.000000,1,94,0,158,94.000000,0.000000,158.000000,21.045544
192.168.1.96,51646,192.168.1.1,domain,0.000000,1,94,0,159,94.000000,0.000000,159.000000,15.861686
192.168.1.96,46642,216.58.205.205,https,194708.781250,18,3718,0,7797,206.555557,93545.445312,487.312500,109.873283
192.168.1.96,39926,172.217.19.142,https,265893.843750,28,3801,1,26260,135.750000,38546.617188,972.592590,70.973717
192.168.1.96,44628,104.244.42.136,https,65470.800781,13,2721,0,5020,209.307693,35737.210938,418.333344,42.679790
192.168.1.96,48498,192.168.1.1,domain,0.000000,1,86,0,102,86.000000,0.000000,102.000000,21.984303
192.168.1.96,37332,192.168.1.1,domain,0.000000,1,86,0,143,86.000000,0.000000,143.000000,14.998350
192.168.1.96,54922,216.58.211.195,https,413139.375000,15,2218,1,12447,147.866669,73317.195312,777.937500,132.756866
192.168.1.96,46644,192.168.1.1,domain,0.000000,1,82,0,146,82.000000,0.000000,146.000000,6.707358
192.168.1.96,45833,192.168.1.1,domain,0.000000,1,82,0,147,82.000000,0.000000,147.000000,14.772140
192.168.1.96,41824,157.240.195.15,https,123366.484375,9,4023,0,6312,447.000000,75709.375000,485.538452,55.575256
192.168.1.96,54083,157.240.195.15,https,239081.328125,5,2924,0,4460,584.799988,146338.031250,637.142883,85.989227
192.168.1.96,60000,157.240.195.15,https,3911228.000000,66,4708,1,143491,71.333336,127797.375000,1576.824219,537.426941
192.168.1.96,42810,104.16.227.10,https,13183.066406,2,174,0,170,87.000000,12880.007812,85.000000,56.823563
